lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
o;art-optimal-origin;1;41.53;0.03;99;0:41.59;0;0;0;0;8732;0;0;2119;2;135;0;0;96;0;0;0;4096;0
o;art-optimal-origin;2;41.44;0.02;99;0:41.48;0;0;0;0;8736;0;0;2118;1;134;0;0;96;0;0;0;4096;0
o;art-optimal-origin;3;41.44;0.02;99;0:41.48;0;0;0;0;8784;0;0;2119;2;136;0;0;96;0;0;0;4096;0
o;art-optimal-origin;4;41.45;0.02;99;0:41.49;0;0;0;0;8740;0;0;2121;2;128;0;0;96;0;0;0;4096;0
o;art-optimal-origin;5;41.49;0.01;99;0:41.52;0;0;0;0;8732;0;0;2120;2;136;0;0;96;0;0;0;4096;0
o;art-optimal-origin;6;41.47;0.02;99;0:41.50;0;0;0;0;8740;0;0;2118;3;140;0;0;96;0;0;0;4096;0
o;art-optimal-origin;7;41.45;0.04;99;0:41.52;0;0;0;0;8808;0;0;2118;3;145;0;0;96;0;0;0;4096;0
o;art-optimal-origin;8;41.54;0.02;99;0:41.58;0;0;0;0;8732;0;0;2120;2;137;0;0;96;0;0;0;4096;0
o;art-optimal-origin;9;41.43;0.02;99;0:41.47;0;0;0;0;8808;0;0;2119;1;145;0;0;96;0;0;0;4096;0
o;art-optimal-origin;10;41.58;0.01;99;0:41.61;0;0;0;0;8788;0;0;2120;2;128;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;1;16.14;0.01;99;0:16.18;0;0;0;0;4056;0;0;906;3;64;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;2;16.15;0.00;99;0:16.16;0;0;0;0;4032;0;0;905;1;64;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;3;16.14;0.00;99;0:16.15;0;0;0;0;4056;0;0;907;2;60;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;4;16.12;0.00;99;0:16.14;0;0;0;0;3980;0;0;905;2;64;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;5;16.14;0.02;99;0:16.18;0;0;0;0;4112;0;0;907;2;57;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;6;16.15;0.03;99;0:16.19;0;0;0;0;3988;0;0;905;2;58;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;7;16.09;0.01;99;0:16.11;0;0;0;0;4112;0;0;907;1;45;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;8;16.18;0.00;99;0:16.20;0;0;0;0;3984;0;0;905;4;51;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;9;16.14;0.02;99;0:16.17;0;0;0;0;4024;0;0;906;2;54;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;10;16.12;0.02;99;0:16.14;0;0;0;0;3988;0;0;906;1;42;0;0;96;0;0;0;4096;0
class;ArtOptimal;1;17.79;0.08;99;0:17.90;0;0;0;0;35164;0;12;6138;681;814;0;0;192;0;0;0;4096;0
class;ArtOptimal;2;17.89;0.16;99;0:18.09;0;0;0;0;35220;0;20;6133;688;851;0;0;256;0;0;0;4096;0
class;ArtOptimal;3;18.01;0.11;99;0:18.13;0;0;0;0;35164;0;12;6149;682;863;0;0;192;0;0;0;4096;0
class;ArtOptimal;4;17.92;0.13;99;0:18.08;0;0;0;0;35188;0;20;6154;684;848;0;0;256;0;0;0;4096;0
class;ArtOptimal;5;17.91;0.13;99;0:18.06;0;0;0;0;35424;0;8;6176;690;846;0;0;160;0;0;0;4096;0
class;ArtOptimal;6;17.97;0.09;99;0:18.09;0;0;0;0;35224;0;20;6184;693;856;0;0;256;0;0;0;4096;0
class;ArtOptimal;7;17.91;0.14;99;0:18.06;0;0;0;0;35480;0;12;6205;691;833;0;0;192;0;0;0;4096;0
class;ArtOptimal;8;17.95;0.12;99;0:18.10;0;0;0;0;35268;0;8;6267;701;839;0;0;160;0;0;0;4096;0
class;ArtOptimal;9;17.99;0.08;99;0:18.09;0;0;0;0;35544;0;20;6185;679;858;0;0;256;0;0;0;4096;0
class;ArtOptimal;10;17.87;0.14;99;0:18.03;0;0;0;0;35164;0;20;6113;683;839;0;0;256;0;0;0;4096;0
js;art-optimal;1;32.69;0.08;99;0:32.78;0;0;0;0;39440;0;0;5028;363;472;0;0;96;0;0;0;4096;0
js;art-optimal;2;32.65;0.08;99;0:32.74;0;0;0;0;39452;0;0;5068;363;456;0;0;96;0;0;0;4096;0
js;art-optimal;3;32.71;0.08;99;0:32.81;0;0;0;0;39484;0;0;5065;357;465;0;0;96;0;0;0;4096;0
js;art-optimal;4;32.70;0.07;99;0:32.79;0;0;0;0;39340;0;0;5067;363;457;0;0;96;0;0;0;4096;0
js;art-optimal;5;32.72;0.04;99;0:32.78;0;0;0;0;39656;0;0;5076;361;442;0;0;96;0;0;0;4096;0
js;art-optimal;6;32.66;0.12;99;0:32.79;0;0;0;0;39456;0;0;5064;361;446;0;0;96;0;0;0;4096;0
js;art-optimal;7;32.66;0.08;99;0:32.74;0;0;0;0;39428;0;0;5007;368;450;0;0;96;0;0;0;4096;0
js;art-optimal;8;32.70;0.08;99;0:32.80;0;0;0;0;39352;0;0;5019;361;465;0;0;96;0;0;0;4096;0
js;art-optimal;9;32.69;0.06;99;0:32.76;0;0;0;0;39536;0;0;5062;357;460;0;0;96;0;0;0;4096;0
js;art-optimal;10;32.66;0.08;99;0:32.75;0;0;0;0;39180;0;0;5062;372;448;0;0;96;0;0;0;4096;0
php;art-optimal;1;283.21;0.08;99;4:43.34;0;0;0;0;25284;0;0;4701;1;755;0;0;96;0;0;0;4096;0
php;art-optimal;2;283.21;0.09;99;4:43.35;0;0;0;0;25344;0;0;4698;1;759;0;0;96;0;0;0;4096;0
php;art-optimal;3;283.32;0.02;99;4:43.39;0;0;0;0;25416;0;0;4698;1;789;0;0;96;0;0;0;4096;0
php;art-optimal;4;283.37;0.06;99;4:43.48;0;0;0;0;25304;0;0;4702;1;758;0;0;96;0;0;0;4096;0
php;art-optimal;5;283.45;0.05;99;4:43.54;0;0;0;0;25352;0;0;4700;1;754;0;0;96;0;0;0;4096;0
php;art-optimal;6;283.37;0.08;99;4:43.49;0;0;0;0;25524;0;0;4701;1;739;0;0;96;0;0;0;4096;0
php;art-optimal;7;283.23;0.08;99;4:43.35;0;0;0;0;25344;0;0;4699;1;730;0;0;96;0;0;0;4096;0
php;art-optimal;8;283.37;0.04;99;4:43.45;0;0;0;0;25292;0;0;4702;1;738;0;0;96;0;0;0;4096;0
php;art-optimal;9;283.39;0.04;99;4:43.47;0;0;0;0;25444;0;0;4700;1;736;0;0;96;0;0;0;4096;0
php;art-optimal;10;283.44;0.05;99;4:43.53;0;0;0;0;25404;0;0;4701;1;745;0;0;96;0;0;0;4096;0
py;art-optimal-origin;1;464.05;0.06;99;7:44.18;0;0;0;0;14976;0;0;4527;1;1280;0;0;96;0;0;0;4096;0
py;art-optimal-origin;2;463.05;0.04;99;7:43.16;0;0;0;0;15184;0;0;4530;1;1272;0;0;96;0;0;0;4096;0
py;art-optimal-origin;3;463.37;0.07;99;7:43.50;0;0;0;0;15120;0;0;4529;1;1236;0;0;96;0;0;0;4096;0
py;art-optimal-origin;4;466.06;0.04;99;7:46.16;0;0;0;0;15020;0;0;4529;1;1263;0;0;96;0;0;0;4096;0
py;art-optimal-origin;5;463.60;0.11;99;7:43.78;0;0;0;0;15120;0;0;4527;1;1314;0;0;96;0;0;0;4096;0
py;art-optimal-origin;6;471.52;0.04;99;7:51.62;0;0;0;0;15120;0;0;4528;1;1277;0;0;96;0;0;0;4096;0
py;art-optimal-origin;7;463.10;0.10;99;7:43.27;0;0;0;0;15120;0;0;4528;1;1248;0;0;96;0;0;0;4096;0
py;art-optimal-origin;8;476.09;0.05;99;7:56.21;0;0;0;0;14984;0;0;4529;1;1283;0;0;96;0;0;0;4096;0
py;art-optimal-origin;9;463.28;0.05;99;7:43.42;0;0;0;0;15020;0;0;4527;1;1333;0;0;96;0;0;0;4096;0
py;art-optimal-origin;10;467.34;0.08;99;7:47.52;0;0;0;0;15048;0;0;4528;1;1348;0;0;96;0;0;0;4096;0
py;art-optimal-optim;1;463.82;0.07;99;7:44.04;0;0;0;0;14860;0;0;3332;1;1493;0;0;96;0;0;0;4096;0
py;art-optimal-optim;2;462.62;0.13;99;7:43.05;0;0;0;0;14788;0;0;3331;1;1885;0;0;96;0;0;0;4096;0
py;art-optimal-optim;3;463.36;0.05;99;7:43.67;0;0;0;0;14720;0;0;3330;1;1794;0;0;96;0;0;0;4096;0
py;art-optimal-optim;4;463.86;0.12;99;7:44.17;0;0;0;0;14688;0;0;3329;1;1606;0;0;96;0;0;0;4096;0
py;art-optimal-optim;5;463.11;0.07;99;7:43.42;0;0;0;0;14860;0;0;3331;1;1790;0;0;96;0;0;0;4096;0
py;art-optimal-optim;6;463.24;0.09;99;7:43.53;0;0;0;0;14760;0;0;3331;1;1604;0;0;96;0;0;0;4096;0
py;art-optimal-optim;7;475.93;0.08;99;7:56.17;0;0;0;0;14716;0;0;3330;1;1526;0;0;96;0;0;0;4096;0
py;art-optimal-optim;8;464.06;0.08;99;7:44.29;0;0;0;0;14724;0;0;3330;1;1508;0;0;96;0;0;0;4096;0
py;art-optimal-optim;9;461.78;0.10;99;7:42.19;0;0;0;0;14700;0;0;3332;1;1864;0;0;96;0;0;0;4096;0
py;art-optimal-optim;10;463.16;0.03;99;7:43.39;0;0;0;0;14820;0;0;3332;1;1627;0;0;96;0;0;0;4096;0
