lang;filename;i;task_clock_1;task_clock_2;context_switches_1;context_switches_2;cpu_migrations_1;cpu_migrations_2;page_faults_1;page_faults_2;cycles_1;cycles_2;instructions_1;instructions_2;branches_1;branches_2;branch_misses_1;branch_misses_2;L1_dcache_loads_1;L1_dcache_loads_2;L1_dcache_load_misses_1;L1_dcache_load_misses_2;LLC_loads_1;LLC_loads_2;LLC_load_misses_1;LLC_load_misses_2;time
o;art-optimal-origin;1;41712.892417;0.999;144;0.003;0;0.000;2091;0.050;58248316439;1.396;46109857824;0.79;6189457747;148.382;46931260;0.76;21843605270;523.666;12281975;0.06;760980199;18.243;379946872;49.93;41.743944861
o;art-optimal-origin;2;41743.162272;1.000;121;0.003;0;0.000;2087;0.050;58294009131;1.396;46126595529;0.79;6189170073;148.268;46880400;0.76;21845086106;523.321;12787851;0.06;761472322;18.242;380605283;49.98;41.750227768
o;art-optimal-origin;3;41622.972157;1.000;123;0.003;0;0.000;2088;0.050;58124766831;1.396;46103128023;0.79;6192339207;148.772;46979591;0.76;21842810855;524.778;11488297;0.05;761163513;18.287;380120733;49.94;41.634890264
o;art-optimal-origin;4;41650.370488;0.999;133;0.003;0;0.000;2088;0.050;58158954366;1.396;46105436088;0.79;6188378918;148.579;47002664;0.76;21855171870;524.729;11776975;0.05;760688655;18.264;380015384;49.96;41.671336345
o;art-optimal-origin;5;41688.532473;0.999;134;0.003;0;0.000;2088;0.050;58212731730;1.396;46112787564;0.79;6190244135;148.488;46893397;0.76;21844261644;523.987;12131819;0.06;761409097;18.264;380320871;49.95;41.710408677
o;art-optimal-origin;6;41676.181536;1.000;121;0.003;0;0.000;2087;0.050;58178417067;1.396;46127005582;0.79;6190716861;148.543;46934718;0.76;21839054048;524.018;11742568;0.05;760481832;18.247;379761593;49.94;41.692467189
o;art-optimal-origin;7;41609.576269;1.000;135;0.003;0;0.000;2090;0.050;58107302117;1.396;46116551190;0.79;6188477458;148.727;46978658;0.76;21849095974;525.098;11489077;0.05;760954295;18.288;380633455;50.02;41.628377326
o;art-optimal-origin;8;41675.068988;1.000;145;0.003;0;0.000;2089;0.050;58151018452;1.395;46117642001;0.79;6190527940;148.543;46948708;0.76;21843607753;524.141;11661862;0.05;760837687;18.256;380082257;49.96;41.695258784
o;art-optimal-origin;9;41709.268419;1.000;154;0.004;0;0.000;2087;0.050;58188134390;1.395;46110784363;0.79;6190089950;148.410;46880485;0.76;21842902241;523.694;11814536;0.05;761186281;18.250;380300729;49.96;41.727477822
o;art-optimal-origin;10;41712.018620;1.000;125;0.003;0;0.000;2089;0.050;58250224172;1.396;46110380743;0.79;6191598083;148.437;46942061;0.76;21847332058;523.766;12323937;0.06;760922820;18.242;379911811;49.93;41.724002705
o;art-optimal-linkedlist;1;16197.175044;0.999;58;0.004;0;0.000;875;0.054;22613077866;1.396;20242992024;0.90;2445293189;150.970;7212144;0.29;9564874837;590.527;6724366;0.07;269931153;16.665;134340165;49.77;16.211491018
o;art-optimal-linkedlist;2;16188.199013;1.000;59;0.004;0;0.000;874;0.054;22598993006;1.396;20259705475;0.90;2444206979;150.987;7268238;0.30;9557439482;590.395;6620143;0.07;269983528;16.678;134313021;49.75;16.195060181
o;art-optimal-linkedlist;3;16217.884215;1.000;50;0.003;0;0.000;875;0.054;22616616821;1.395;20240692117;0.89;2444925268;150.755;7331871;0.30;9567214737;589.918;6749411;0.07;269836033;16.638;134407617;49.81;16.222121085
o;art-optimal-linkedlist;4;16193.287599;1.000;50;0.003;0;0.000;874;0.054;22606855334;1.396;20243050643;0.90;2445907043;151.045;7298576;0.30;9560596416;590.405;6617090;0.07;269995943;16.673;134172384;49.69;16.198728180
o;art-optimal-linkedlist;5;16205.312493;0.999;60;0.004;0;0.000;875;0.054;22628845132;1.396;20246119783;0.89;2446884308;150.993;7207914;0.29;9556554173;589.717;6791279;0.07;269957099;16.659;134130857;49.69;16.218275978
o;art-optimal-linkedlist;6;15967.981506;0.999;53;0.003;0;0.000;875;0.055;22292342909;1.396;20242096157;0.91;2445272276;153.136;7286272;0.30;9563782243;598.935;4873093;0.05;269392841;16.871;134320187;49.86;15.981152575
o;art-optimal-linkedlist;7;15954.967078;0.999;60;0.004;0;0.000;875;0.055;22278684032;1.396;20250530535;0.91;2445520246;153.276;7298467;0.30;9559412115;599.150;4747953;0.05;269360309;16.883;134344381;49.88;15.966852219
o;art-optimal-linkedlist;8;16182.972710;1.000;49;0.003;0;0.000;875;0.054;22596663435;1.396;20251522260;0.90;2445755061;151.131;7232961;0.30;9556764138;590.544;6620269;0.07;269792606;16.671;134279714;49.77;16.186888044
o;art-optimal-linkedlist;9;16195.483023;1.000;50;0.003;0;0.000;875;0.054;22608840528;1.396;20248806132;0.90;2447447614;151.119;7273441;0.30;9562923137;590.469;6735928;0.07;270037637;16.674;134179968;49.69;16.200648452
o;art-optimal-linkedlist;10;16218.072915;1.000;49;0.003;0;0.000;874;0.054;22644701804;1.396;20244790401;0.89;2445580294;150.794;7237937;0.30;9561338540;589.548;6902167;0.07;269684241;16.629;134389241;49.83;16.221911742
class;ArtOptimal;1;18092.377195;0.998;1552;0.086;0;0.000;6142;0.339;25242979088;1.395;24950056291;0.99;1925034703;106.400;116714041;6.06;6516092503;360.157;48307827;0.74;519617851;28.720;214069718;41.20;18.131136481
class;ArtOptimal;2;18173.602134;0.998;1562;0.086;0;0.000;6207;0.342;25297445145;1.392;24980152121;0.99;1963245414;108.027;118793325;6.05;6521591956;358.850;48612171;0.75;521943717;28.720;214897137;41.17;18.200949604
class;ArtOptimal;3;18003.440152;0.998;1529;0.085;0;0.000;6303;0.350;25060111286;1.392;24841006677;0.99;2046331115;113.663;114684825;5.60;6470873863;359.424;47665266;0.74;518631480;28.807;214554287;41.37;18.035169561
class;ArtOptimal;4;18160.218551;0.999;1538;0.085;0;0.000;6133;0.338;25333193434;1.395;25007861505;0.99;1964123108;108.155;119912440;6.11;6544869342;360.396;48329302;0.74;523743117;28.840;215141422;41.08;18.179920869
class;ArtOptimal;5;17958.183076;0.998;1515;0.084;0;0.000;6162;0.343;25056325619;1.395;24887040275;0.99;2041484985;113.680;112769472;5.52;6387765588;355.702;46920642;0.73;517455126;28.814;214763642;41.50;17.992840752
class;ArtOptimal;6;18093.923547;0.999;1519;0.084;0;0.000;6163;0.341;25244609819;1.395;24979035148;0.99;1957428446;108.182;118777316;6.07;6515625781;360.100;48386372;0.74;521348303;28.813;214327768;41.11;18.111163987
class;ArtOptimal;7;18127.863753;0.999;1545;0.085;0;0.000;6166;0.340;25293654386;1.395;24973509538;0.99;1933145213;106.639;117257790;6.07;6519618102;359.646;49076859;0.75;524461975;28.931;214569851;40.91;18.145938963
class;ArtOptimal;8;18177.569267;0.999;1538;0.085;0;0.000;6161;0.339;25357743592;1.395;25071796403;0.99;1935978327;106.504;118920844;6.14;6538140409;359.682;49003095;0.75;523193206;28.782;214272219;40.95;18.203599836
class;ArtOptimal;9;18174.997917;0.999;1546;0.085;0;0.000;6109;0.336;25287382576;1.391;24977586682;0.99;2056334178;113.141;118205230;5.75;6539981178;359.834;47769804;0.73;523322718;28.794;214459845;40.98;18.188849698
class;ArtOptimal;10;18021.068856;0.999;1516;0.084;0;0.000;6141;0.341;25146588705;1.395;24978780487;0.99;1951978612;108.316;115600181;5.92;6398459444;355.054;47369361;0.74;517772554;28.732;214422326;41.41;18.038424583
js;art-optimal;1;32896.576449;1.000;807;0.025;0;0.000;5053;0.154;45902804181;1.395;45974225866;1.00;2353096365;71.530;78432693;3.33;20822143772;632.958;23518750;0.11;467201932;14.202;218320098;46.73;32.906211211
js;art-optimal;2;32844.274367;1.000;807;0.025;0;0.000;4974;0.151;45844774114;1.396;45957213275;1.00;2353724904;71.663;75178432;3.19;20810287622;633.605;23477251;0.11;467590132;14.237;218512094;46.73;32.851762323
js;art-optimal;3;32882.901135;1.000;808;0.025;0;0.000;5009;0.152;45904042758;1.396;45949330822;1.00;2349331377;71.445;78868289;3.36;20818360432;633.106;23744679;0.11;466967041;14.201;218437322;46.78;32.889728897
js;art-optimal;4;32857.489474;1.000;811;0.025;0;0.000;5032;0.153;45867220042;1.396;45983113553;1.00;2351602761;71.570;76340619;3.25;20808298548;633.289;23338371;0.11;466627257;14.202;218465002;46.82;32.865250877
js;art-optimal;5;32888.151818;1.000;798;0.024;0;0.000;4992;0.152;45905190112;1.396;45939391933;1.00;2348134748;71.398;81808374;3.48;20809650191;632.740;23318873;0.11;466164207;14.174;218490573;46.87;32.895138107
js;art-optimal;6;32871.903129;1.000;817;0.025;0;0.000;4981;0.152;45885779263;1.396;45946180384;1.00;2348828971;71.454;79835662;3.40;20810358323;633.074;23368356;0.11;465925938;14.174;218486211;46.89;32.879210310
js;art-optimal;7;32861.310936;1.000;808;0.025;0;0.000;5051;0.154;45868329960;1.396;45965919721;1.00;2353758090;71.627;75425761;3.20;20810870390;633.294;23580196;0.11;467270174;14.219;218705768;46.80;32.868848013
