lang;filename;i;task_clock_1;task_clock_2;context_switches_1;context_switches_2;cpu_migrations_1;cpu_migrations_2;page_faults_1;page_faults_2;cycles_1;cycles_2;instructions_1;instructions_2;branches_1;branches_2;branch_misses_1;branch_misses_2;L1_dcache_loads_1;L1_dcache_loads_2;L1_dcache_load_misses_1;L1_dcache_load_misses_2;LLC_loads_1;LLC_loads_2;LLC_load_misses_1;LLC_load_misses_2;time
o;art-optimal;1;109.506042;0.985;2;0.018;0;0.000;214;0.002;153037203;1.398;133254533;0.87;15326409;139.959;906708;5.92;55717124;508.804;59772;0.11;591739;5.404;19136;3.23;0.111117813
o;art-optimal;2;113.863021;0.908;6;0.053;0;0.000;211;0.002;153812147;1.351;131806793;0.86;15230281;133.760;869177;5.71;55379886;486.373;64485;0.12;594990;5.225;19695;3.31;0.125380343
o;art-optimal;3;113.968698;0.927;5;0.044;0;0.000;214;0.002;154136003;1.352;132604501;0.86;15054700;132.095;877454;5.83;55362552;485.770;68105;0.12;610535;5.357;34166;5.60;0.123002294
o;art-optimal;4;113.864479;0.929;6;0.053;0;0.000;214;0.002;154202692;1.354;132487839;0.86;15059163;132.255;874627;5.81;55362511;486.214;64261;0.12;600311;5.272;32053;5.34;0.122599898
o;art-optimal;5;109.816771;0.928;4;0.036;0;0.000;211;0.002;153440502;1.397;133814393;0.87;15235963;138.740;914927;6.01;55688571;507.104;60317;0.11;587192;5.347;19994;3.41;0.118282591
o;art-optimal;6;109.644114;0.954;4;0.036;0;0.000;213;0.002;153203737;1.397;132859268;0.87;15347659;139.977;885055;5.77;55653206;507.580;65866;0.12;603194;5.501;19415;3.22;0.114964688
o;art-optimal;7;109.690470;0.941;4;0.036;0;0.000;214;0.002;153250377;1.397;134005528;0.87;15227797;138.825;875250;5.75;55714259;507.923;65296;0.12;604100;5.507;20092;3.33;0.116609347
o;art-optimal;8;109.622864;0.952;4;0.036;0;0.000;212;0.002;153165586;1.397;132761660;0.87;15346797;139.996;885467;5.77;55641947;507.576;70324;0.13;610385;5.568;18876;3.09;0.115150381
o;art-optimal;9;109.649115;0.947;4;0.036;0;0.000;213;0.002;153201020;1.397;134052438;0.88;15210797;138.722;884639;5.82;55731589;508.272;64658;0.12;592859;5.407;20474;3.45;0.115845409
o;art-optimal;10;109.934688;0.933;4;0.036;0;0.000;211;0.002;153599993;1.397;133966902;0.87;15229409;138.531;891536;5.85;55738596;507.016;65917;0.12;601071;5.468;20657;3.44;0.117820479
class;ArtOptimal;1;1761.838342;0.708;558;0.317;0;0.000;6074;0.003;2364316263;1.342;1176693554;0.50;133919481;76.011;37854844;28.27;586521958;332.903;11821602;2.02;46882957;26.610;3909936;8.34;2.489799892
class;ArtOptimal;2;1612.609689;0.988;270;0.167;0;0.000;6002;0.004;2249213439;1.395;1137742455;0.51;129446520;80.271;35423901;27.37;558342815;346.236;11458889;2.05;44715729;27.729;3512758;7.86;1.631826380
class;ArtOptimal;3;1623.391361;0.987;273;0.168;0;0.000;5986;0.004;2264405126;1.395;1143716225;0.51;129084593;79.515;36342470;28.15;563118040;346.878;11622328;2.06;45000727;27.720;3497685;7.77;1.644533683
class;ArtOptimal;4;1670.482086;0.993;284;0.170;0;0.000;5963;0.004;2325194755;1.392;1165033338;0.50;133693515;80.033;37729842;28.22;574857437;344.127;11272222;1.96;46089969;27.591;3234250;7.02;1.682540026
class;ArtOptimal;5;1683.790209;0.984;267;0.159;0;0.000;5994;0.004;2348665785;1.395;1186807572;0.51;134026842;79.598;37782117;28.19;581003671;345.057;11966195;2.06;45981401;27.308;3449306;7.50;1.711002759
class;ArtOptimal;6;1609.837402;0.987;269;0.167;0;0.000;6003;0.004;2245446856;1.395;1138159495;0.51;129256191;80.291;35654877;27.58;557136148;346.082;11278023;2.02;45307282;28.144;3276517;7.23;1.630222301
class;ArtOptimal;7;1619.522087;0.987;260;0.161;0;0.000;6003;0.004;2259054692;1.395;1146896381;0.51;128985036;79.644;34961336;27.10;560538226;346.113;11898992;2.12;45094804;27.845;3521807;7.81;1.641597053
class;ArtOptimal;8;1643.077090;0.987;285;0.173;0;0.000;5984;0.004;2286818909;1.392;1154130467;0.50;131290558;79.905;36318892;27.66;563288213;342.825;11341562;2.01;45547544;27.721;3474118;7.63;1.664826695
class;ArtOptimal;9;1685.947866;0.987;295;0.175;0;0.000;6019;0.004;2346640078;1.392;1190617563;0.51;134911788;80.021;36867428;27.33;582378979;345.431;12111366;2.08;47419574;28.126;3590263;7.57;1.708388069
class;ArtOptimal;10;1691.559955;0.986;295;0.174;0;0.000;6094;0.004;2352018578;1.390;1197137047;0.51;136305270;80.580;35726573;26.21;581698828;343.883;11806009;2.03;47114656;27.853;3578692;7.60;1.714867558
js;art-optimal;1;755.428965;0.368;537;0.711;0;0.000;5125;0.007;948849382;1.256;602111600;0.63;69579803;92.106;6309466;9.07;259592380;343.636;1902343;0.73;14610447;19.341;1768887;12.11;2.053575266
js;art-optimal;2;659.595523;0.995;231;0.350;0;0.000;4916;0.007;897367906;1.360;577490921;0.64;65108388;98.710;6337947;9.73;245248409;371.816;1760980;0.72;13602106;20.622;1796451;13.21;0.662878216
js;art-optimal;3;645.706407;0.992;229;0.355;0;0.000;4906;0.008;895465660;1.387;573550653;0.64;64821577;100.389;6351128;9.80;244648239;378.885;1813539;0.74;13896787;21.522;1732679;12.47;0.650636186
js;art-optimal;4;643.732815;0.995;247;0.384;0;0.000;4957;0.008;897585349;1.394;566548235;0.63;66734733;103.668;6285205;9.42;245321213;381.092;1868274;0.76;14246105;22.130;1724593;12.11;0.647234137
js;art-optimal;5;644.821048;0.983;240;0.372;0;0.000;4903;0.008;894135716;1.387;571628025;0.64;65065924;100.905;6367607;9.79;243348090;377.389;1813029;0.75;13626603;21.132;1719702;12.62;0.656069583
js;art-optimal;6;642.131355;0.937;233;0.363;0;0.000;4965;0.008;895352675;1.394;565231722;0.63;66783166;104.002;6336958;9.49;244262549;380.393;1843398;0.75;13671080;21.290;1767838;12.93;0.685550933
js;art-optimal;7;643.575680;0.995;237;0.368;0;0.000;4960;0.008;897427355;1.394;567662210;0.63;66636544;103.541;6334698;9.51;245520820;381.495;1847681;0.75;14202500;22.068;1728960;12.17;0.646797437
js;art-optimal;8;642.184481;0.990;224;0.349;0;0.000;4963;0.008;895438332;1.394;564704195;0.63;66716832;103.890;6408205;9.61;243759787;379.579;1816336;0.75;13425467;20.906;1756123;13.08;0.648493809
js;art-optimal;9;641.699483;0.992;233;0.363;0;0.000;4964;0.008;894663280;1.394;567457971;0.63;66451430;103.555;6342919;9.55;243785526;379.906;1840722;0.76;13496476;21.032;1808782;13.40;0.646604620
js;art-optimal;10;655.714065;0.986;235;0.358;0;0.000;4911;0.007;894603511;1.364;574687055;0.64;65151308;99.359;6315259;9.69;242803768;370.289;1802892;0.74;13723502;20.929;1725141;12.57;0.664848831
php;art-optimal;1;376.996562;0.970;5;0.013;0;0.000;3034;0.008;509405093;1.351;360906952;0.71;44983916;119.322;2285070;5.08;179026794;474.876;580372;0.32;3516881;9.329;502286;14.28;0.388837869
php;art-optimal;2;364.427449;0.979;4;0.011;0;0.000;3034;0.008;509006174;1.397;362277357;0.71;45392653;124.559;2552438;5.62;177377937;486.730;658804;0.37;3509896;9.631;359552;10.24;0.372283570
php;art-optimal;3;363.187865;0.982;3;0.008;0;0.000;3032;0.008;507250590;1.397;362544476;0.71;45420287;125.060;2415186;5.32;177464531;488.630;680646;0.38;3536942;9.739;348863;9.86;0.369771711
php;art-optimal;4;364.046769;0.981;5;0.014;0;0.000;3030;0.008;508477665;1.397;362943526;0.71;44903896;123.347;2521719;5.62;177354308;487.175;664542;0.37;3523354;9.678;470914;13.37;0.370920046
