lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
js;art-optimal;6;43.71;0.11;99;0:43.84;0;0;0;0;46308;0;0;12944;513;709;0;0;96;0;0;0;4096;0
js;art-optimal;7;43.68;0.11;99;0:43.83;0;0;0;0;46068;0;0;12903;503;730;0;0;96;0;0;0;4096;0
js;art-optimal;8;43.65;0.12;99;0:43.78;0;0;0;0;46300;0;0;12920;504;661;0;0;96;0;0;0;4096;0
js;art-optimal;9;43.67;0.12;99;0:43.80;0;0;0;0;46060;0;0;12907;507;661;0;0;96;0;0;0;4096;0
js;art-optimal;10;43.61;0.16;99;0:43.79;0;0;0;0;46224;0;0;12953;509;658;0;0;96;0;0;0;4096;0
php;art-optimal;1;282.87;0.04;99;4:43.04;0;0;0;0;28204;0;0;6201;1;1003;0;0;96;0;0;0;4096;0
php;art-optimal;2;282.09;0.06;99;4:42.30;0;0;0;0;28196;0;0;6200;1;1056;0;0;96;0;0;0;4096;0
php;art-optimal;3;282.30;0.08;99;4:42.53;0;0;0;0;28116;0;0;6203;1;1032;0;0;96;0;0;0;4096;0
php;art-optimal;4;282.04;0.13;99;4:42.30;0;0;0;0;28128;0;0;6199;1;985;0;0;96;0;0;0;4096;0
php;art-optimal;5;282.10;0.08;99;4:42.35;0;0;0;0;28040;0;0;6200;1;1092;0;0;96;0;0;0;4096;0
php;art-optimal;6;282.16;0.13;99;4:42.43;0;0;0;0;28140;0;0;6203;1;1051;0;0;96;0;0;0;4096;0
php;art-optimal;7;282.22;0.06;99;4:42.38;0;0;0;0;28200;0;0;6202;1;956;0;0;96;0;0;0;4096;0
php;art-optimal;8;282.39;0.07;99;4:42.56;0;0;0;0;28196;0;0;6202;1;932;0;0;96;0;0;0;4096;0
php;art-optimal;9;282.24;0.08;99;4:42.43;0;0;0;0;28156;0;0;6201;1;951;0;0;96;0;0;0;4096;0
php;art-optimal;10;282.22;0.10;99;4:42.56;0;0;0;0;28364;0;0;6204;1;1315;0;0;96;0;0;0;4096;0
py;art-optimal-origin;1;465.85;0.07;99;7:46.11;0;0;0;0;17044;0;0;3768;1;1641;0;0;96;0;0;0;4096;0
py;art-optimal-origin;2;468.80;0.05;99;7:48.97;0;0;0;0;17016;0;0;3766;1;1506;0;0;96;0;0;0;4096;0
py;art-optimal-origin;3;472.51;0.08;99;7:52.72;0;0;0;0;16892;0;0;3767;1;1511;0;0;96;0;0;0;4096;0
py;art-optimal-origin;4;468.18;0.11;99;7:48.40;0;0;0;0;16988;0;0;3766;1;1412;0;0;96;0;0;0;4096;0
py;art-optimal-origin;5;470.53;0.07;99;7:50.72;0;0;0;0;16888;0;0;3765;1;1437;0;0;96;0;0;0;4096;0
py;art-optimal-origin;6;464.84;0.13;99;7:45.13;0;0;0;0;16960;0;0;3767;1;1488;0;0;96;0;0;0;4096;0
py;art-optimal-origin;7;474.29;0.12;99;7:54.55;0;0;0;0;16960;0;0;3767;1;1595;0;0;96;0;0;0;4096;0
py;art-optimal-origin;8;464.04;0.11;99;7:44.27;0;0;0;0;16936;0;0;3766;1;1412;0;0;96;0;0;0;4096;0
py;art-optimal-origin;9;466.34;0.08;99;7:46.61;0;0;0;0;17060;0;0;3767;1;1596;0;0;96;0;0;0;4096;0
py;art-optimal-origin;10;469.49;0.11;99;7:49.74;0;0;0;0;17124;0;0;3767;1;1474;0;0;96;0;0;0;4096;0
py;art-optimal-optim;1;464.08;0.11;99;7:44.29;0;0;0;0;16672;0;0;7344;1;1332;0;0;96;0;0;0;4096;0
py;art-optimal-optim;2;467.30;0.11;99;7:47.50;0;0;0;0;16876;0;0;7313;1;1343;0;0;96;0;0;0;4096;0
py;art-optimal-optim;3;472.45;0.13;99;7:52.67;0;0;0;0;16812;0;0;7312;1;1331;0;0;96;0;0;0;4096;0
py;art-optimal-optim;4;463.94;0.16;99;7:44.22;0;0;0;0;16880;0;0;7323;1;1417;0;0;96;0;0;0;4096;0
py;art-optimal-optim;5;463.46;0.18;99;7:43.76;0;0;0;0;16812;0;0;7322;1;1397;0;0;96;0;0;0;4096;0
py;art-optimal-optim;6;464.61;0.14;99;7:44.89;0;0;0;0;16812;0;0;7918;1;1465;0;0;96;0;0;0;4096;0
py;art-optimal-optim;7;468.18;0.11;99;7:48.39;0;0;0;0;16640;0;0;7321;1;1356;0;0;96;0;0;0;4096;0
py;art-optimal-optim;8;464.26;0.14;99;7:44.54;0;0;0;0;16676;0;0;7320;1;1459;0;0;96;0;0;0;4096;0
py;art-optimal-optim;9;467.87;0.11;99;7:48.09;0;0;0;0;16676;0;0;7319;1;1362;0;0;96;0;0;0;4096;0
py;art-optimal-optim;10;470.92;0.20;99;7:51.22;0;0;0;0;16808;0;0;7323;1;1391;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;1;612.09;0.10;99;10:12.33;0;0;0;0;19756;0;0;4744;1;1828;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;2;633.48;0.24;99;10:34.22;0;0;0;0;19616;0;0;4743;1;2819;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;3;612.32;0.22;99;10:12.79;0;0;0;0;19820;0;0;4746;1;2143;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;4;634.51;0.16;99;10:35.18;0;0;0;0;19756;0;0;4745;1;2772;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;5;613.17;0.16;99;10:13.67;0;0;0;0;19612;0;0;4744;1;2287;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;6;630.03;0.24;99;10:30.84;0;0;0;0;19656;0;0;4743;1;2897;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;7;646.11;0.09;99;10:46.70;0;0;0;0;19684;0;0;4744;1;2834;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;8;616.13;0.24;99;10:17.02;0;0;0;0;19756;0;0;4745;1;3073;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;9;613.75;0.23;99;10:14.76;0;0;0;0;19616;0;0;4743;1;3389;0;0;96;0;0;0;4096;0
py;art-optimal-linkedlist;10;611.35;0.23;99;10:12.11;0;0;0;0;19756;0;0;4746;1;2766;0;0;96;0;0;0;4096;0
