lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
o;art-optimal-origin;1;46.20;0.02;99;0:46.26;0;0;0;0;10584;0;0;2586;1;249;0;0;96;0;0;0;4096;0
o;art-optimal-origin;2;46.48;0.04;99;0:46.54;0;0;0;0;10712;0;0;2589;1;165;0;0;96;0;0;0;4096;0
o;art-optimal-origin;3;46.29;0.03;99;0:46.35;0;0;0;0;10632;0;0;2586;1;211;0;0;96;0;0;0;4096;0
o;art-optimal-origin;4;46.51;0.02;99;0:46.57;0;0;0;0;10588;0;0;2588;1;215;0;0;96;0;0;0;4096;0
o;art-optimal-origin;5;46.49;0.04;99;0:46.56;0;0;0;0;10656;0;0;2587;1;214;0;0;96;0;0;0;4096;0
o;art-optimal-origin;6;46.42;0.03;99;0:46.48;0;0;0;0;10624;0;0;2587;2;176;0;0;96;0;0;0;4096;0
o;art-optimal-origin;7;46.51;0.03;99;0:46.60;0;0;0;0;10712;0;0;2590;2;250;0;0;96;0;0;0;4096;0
o;art-optimal-origin;8;46.48;0.03;99;0:46.57;0;0;0;0;10632;0;0;2587;2;235;0;0;96;0;0;0;4096;0
o;art-optimal-origin;9;46.46;0.05;99;0:46.57;0;0;0;0;10712;0;0;2590;2;253;0;0;96;0;0;0;4096;0
o;art-optimal-origin;10;46.36;0.04;99;0:46.49;0;0;0;0;10656;0;0;2588;3;304;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;1;16.61;0.01;99;0:16.65;0;0;0;0;4056;0;0;907;5;86;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;2;16.62;0.00;99;0:16.67;0;0;0;0;4056;0;0;904;5;96;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;3;16.61;0.00;99;0:16.66;0;0;0;0;4056;0;0;905;4;101;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;4;16.60;0.00;99;0:16.63;0;0;0;0;4032;0;0;903;4;95;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;5;16.62;0.01;99;0:16.67;0;0;0;0;4056;0;0;905;5;95;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;6;16.60;0.00;99;0:16.63;0;0;0;0;4028;0;0;905;4;74;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;7;16.61;0.00;99;0:16.64;0;0;0;0;4056;0;0;906;3;81;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;8;16.59;0.00;99;0:16.65;0;0;0;0;4024;0;0;905;5;105;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;9;16.59;0.03;99;0:16.67;0;0;0;0;4112;0;0;909;4;140;0;0;96;0;0;0;4096;0
o;art-optimal-linkedlist;10;16.59;0.03;99;0:16.67;0;0;0;0;4036;0;0;907;2;164;0;0;96;0;0;0;4096;0
class;ArtOptimal;1;18.15;0.17;99;0:18.35;0;0;0;0;40980;0;24;7977;701;954;0;0;288;0;0;0;4096;0
class;ArtOptimal;2;18.16;0.15;99;0:18.34;0;0;0;0;42764;0;20;8183;696;970;0;0;256;0;0;0;4096;0
class;ArtOptimal;3;18.27;0.08;99;0:18.38;0;0;0;0;41004;0;24;7625;716;982;0;0;288;0;0;0;4096;0
class;ArtOptimal;4;17.43;0.11;99;0:17.57;0;0;0;0;41208;0;20;7979;686;964;0;0;256;0;0;0;4096;0
class;ArtOptimal;5;17.69;0.18;99;0:17.89;0;0;0;0;42184;0;20;8432;701;1027;0;0;256;0;0;0;4096;0
class;ArtOptimal;6;17.61;0.15;99;0:17.79;0;0;0;0;41708;0;24;7985;692;983;0;0;288;0;0;0;4096;0
class;ArtOptimal;7;18.33;0.09;99;0:18.46;0;0;0;0;41308;0;20;7899;700;963;0;0;256;0;0;0;4096;0
class;ArtOptimal;8;18.23;0.13;99;0:18.40;0;0;0;0;42384;0;24;8137;698;979;0;0;288;0;0;0;4096;0
class;ArtOptimal;9;18.15;0.20;99;0:18.38;0;0;0;0;42452;0;20;8133;709;1004;0;0;256;0;0;0;4096;0
class;ArtOptimal;10;18.26;0.16;99;0:18.45;0;0;0;0;41348;0;24;7928;705;972;0;0;288;0;0;0;4096;0
js;art-optimal;1;43.64;0.16;99;0:43.83;0;0;0;0;45996;0;0;12909;503;716;0;0;96;0;0;0;4096;0
js;art-optimal;2;43.77;0.08;99;0:43.88;0;0;0;0;46096;0;0;12941;508;717;0;0;96;0;0;0;4096;0
js;art-optimal;3;43.66;0.13;99;0:43.81;0;0;0;0;45940;0;0;12898;503;658;0;0;96;0;0;0;4096;0
js;art-optimal;4;43.65;0.13;99;0:43.81;0;0;0;0;46172;0;0;12933;509;669;0;0;96;0;0;0;4096;0
js;art-optimal;5;43.71;0.10;99;0:43.83;0;0;0;0;46076;0;0;12909;507;672;0;0;96;0;0;0;4096;0
