1621066440414;1;0.4275;5.09875;2.18
1621066440918;1;0.50875;5.09875;2.6
1621066441422;1;0.50375;5.1;2.57
1621066441925;1;0.50125;5.09875;2.56
1621066442428;1;0.50375;5.0975;2.57
1621066442932;1;0.53;5.1;2.7
1621066443435;1;0.55625;5.09875;2.88
1621066443938;1;0.5325;5.09875;2.72
1621066444441;1;0.53875;5.09875;2.74
1621066444944;1;0.51375;5.09875;2.62
1621066445447;1;0.535;5.09875;2.73
1621066445950;1;0.54875;5.09875;2.8
1621066446453;1;0.54;5.1;2.8
1621066446956;1;0.53125;5.0975;2.76
1621066447460;1;0.5375;5.09875;2.74
1621066447963;1;0.54125;5.09875;2.76
1621066448466;1;0.5375;5.0975;2.75
1621066448970;1;0.5375;5.0975;2.66
1621066449473;1;0.535;5.09875;2.73
1621066449976;1;0.54;5.09875;2.75
1621066450480;1;0.52;5.0975;2.65
1621066450983;1;0.5475;5.0975;2.79
1621066451486;1;0.5225;5.0975;2.72
1621066451990;1;0.5375;5.09875;2.75
1621066452493;1;0.54625;5.09875;2.78
1621066452996;1;0.53125;5.0975;2.71
1621066453500;1;0.5375;5.09875;2.74
1621066454003;1;0.54;5.09875;2.74
1621066454507;1;0.54375;5.09875;2.77
1621066455010;1;0.54125;5.1;2.76
1621066455513;1;0.52375;5.09875;2.68
1621066456016;1;0.535;5.0975;2.75
1621066456520;1;0.5425;5.0975;2.77
1621066457023;1;0.5375;5.1;2.74
1621066457526;1;0.54625;5.0975;2.78
1621066458030;1;0.53875;5.09875;2.75
1621066458533;1;0.5175;5.1;2.65
1621066459036;1;0.51875;5.0975;2.65
1621066459540;1;0.53875;5.09875;2.75
1621066460043;1;0.535;5.09875;2.73
1621066460546;1;0.545;5.09875;2.78
1621066461050;1;0.5375;5.09875;2.75
1621066461553;1;0.51375;5.0975;2.62
1621066462056;1;0.5425;5.09625;2.77
1621066462560;1;0.53375;5.09875;2.73
1621066463063;1;0.54125;5.09875;2.73
1621066463566;1;0.51875;5.0975;2.67
1621066464069;1;0.535;5.09875;2.73
1621066464573;1;0.53625;5.0975;2.73
1621066465076;1;0.52625;5.0975;2.69
1621066465580;1;0.53875;5.09875;2.76
1621066466083;1;0.53625;5.0975;2.73
1621066466586;1;0.54875;5.09875;2.8
1621066467089;1;0.53;5.1;2.7
1621066467592;1;0.53625;5.09875;2.74
1621066468096;1;0.52625;5.09875;2.68
1621066468599;1;0.5525;5.0975;2.75
1621066469103;1;0.54125;5.0975;2.76
1621066469606;1;0.54;5.09875;2.76
1621066470109;1;0.54375;5.1;2.78
1621066470613;1;0.53125;5.1;2.8
1621066471117;1;0.54375;5.09625;2.78
1621066471620;1;0.5325;5.0975;2.72
1621066472123;1;0.52375;5.1;2.67
1621066472627;1;0.53625;5.09625;2.69
1621066473130;1;0.54125;5.09875;2.76
1621066473633;1;0.51625;5.09875;2.64
1621066474137;1;0.55;5.1;2.81
1621066474640;1;0.52125;5.0975;2.77
1621066475144;1;0.535;5.09625;2.73
1621066475647;1;0.5375;5.0975;2.74
1621066476150;1;0.55;5.0975;2.8
1621066476654;1;0.55125;5.09875;2.81
1621066477157;1;0.53625;5.095;2.75
1621066477661;1;0.54125;5.0975;2.76
1621066478164;1;0.545;5.1;2.78
1621066478667;1;0.5425;5.0975;2.77
1621066479171;1;0.545;5.09875;2.78
1621066479674;1;0.54125;5.09875;2.78
1621066480177;1;0.53625;5.0975;2.74
1621066480681;1;0.52625;5.09625;2.68
1621066481184;1;0.5325;5.09875;2.71
1621066481687;1;0.54;5.0975;2.77
1621066482191;1;0.54;5.09875;2.75
1621066482694;1;0.54125;5.0975;2.76
1621066483198;1;0.53625;5.09625;2.73
1621066483701;1;0.5475;5.09625;2.79
1621066484204;1;0.5425;5.09875;2.73
1621066484708;1;0.5425;5.0975;2.77
1621066485211;1;0.54125;5.0975;2.76
1621066485714;1;0.51625;5.0975;2.64
1621066486218;1;0.53875;5.09625;2.72
1621066486721;1;0.53625;5.0975;2.74
1621066487224;0;0.40375;5.0975;2.05
1621066487728;0;0.355;5.09875;1.81
1621066488231;0;0.35625;5.10125;1.81
1621066488734;0;0.3575;5.09875;1.83
1621066489238;0;0.35875;5.0975;1.83
1621066489741;0;0.355;5.0975;1.81
1621066490245;0;0.36;5.1;1.83
1621066490748;0;0.35625;5.0975;1.82
1621066491251;0;0.3575;5.09875;1.82
1621066491755;0;0.36375;5.09875;1.85
1621066492258;1;0.50625;5.09625;2.59
1621066492762;1;0.505;5.09625;2.58
1621066493265;1;0.505;5.09625;2.57
1621066493768;1;0.505;5.0975;2.58
1621066494272;1;0.52375;5.09875;2.67
1621066494775;1;0.53375;5.0975;2.72
1621066495278;1;0.5375;5.09625;2.74
