lang;filename;i;user_time;system_time;cpu;clock_time;size_1;size_2;size_3;size_4;max_set_size;avg_set_size;major_page_faults;minor_page_faults;context_switches_1;context_switches_2;swaps;fs_inputs;fs_outputs;socket_sent;socket_received;signals;page_size;exit_status
o;art-optimal;1;4.02;0.03;99;0:04.05;0;0;0;0;5840;0;0;1375;1;13;0;0;96;0;0;0;4096;0
o;art-optimal;2;4.02;0.04;99;0:04.07;0;0;0;0;5836;0;0;1374;1;22;0;0;96;0;0;0;4096;0
o;art-optimal;3;4.06;0.00;99;0:04.06;0;0;0;0;5968;0;0;1377;1;18;0;0;96;0;0;0;4096;0
o;art-optimal;4;4.03;0.03;99;0:04.07;0;0;0;0;5968;0;0;1377;1;20;0;0;96;0;0;0;4096;0
o;art-optimal;5;4.02;0.00;99;0:04.04;0;0;0;0;5884;0;0;1372;1;13;0;0;96;0;0;0;4096;0
o;art-optimal;6;4.04;0.01;99;0:04.07;0;0;0;0;5912;0;0;1376;1;18;0;0;96;0;0;0;4096;0
o;art-optimal;7;4.01;0.03;99;0:04.04;0;0;0;0;5912;0;0;1373;1;13;0;0;96;0;0;0;4096;0
o;art-optimal;8;4.05;0.02;99;0:04.07;0;0;0;0;5840;0;0;1376;1;23;0;0;96;0;0;0;4096;0
o;art-optimal;9;4.03;0.01;99;0:04.04;0;0;0;0;5912;0;0;1374;1;14;0;0;96;0;0;0;4096;0
o;art-optimal;10;4.05;0.01;99;0:04.07;0;0;0;0;5912;0;0;1376;1;17;0;0;96;0;0;0;4096;0
class;ArtOptimal;1;22.21;0.14;99;0:22.41;0;0;0;0;42084;0;8;8371;761;1051;0;0;400;0;0;0;4096;0
class;ArtOptimal;2;22.28;0.14;99;0:22.45;0;0;0;0;42132;0;8;8278;758;1005;0;0;400;0;0;0;4096;0
class;ArtOptimal;3;22.26;0.13;99;0:22.43;0;0;0;0;41508;0;24;8024;781;1035;0;0;528;0;0;0;4096;0
class;ArtOptimal;4;22.16;0.13;99;0:22.32;0;0;0;0;41712;0;20;8027;771;1039;0;0;496;0;0;0;4096;0
class;ArtOptimal;5;21.12;0.06;99;0:21.22;0;0;0;0;41552;0;20;7719;706;1025;0;0;496;0;0;0;4096;0
class;ArtOptimal;6;21.15;0.15;99;0:21.32;0;0;0;0;41664;0;24;7713;701;1000;0;0;528;0;0;0;4096;0
class;ArtOptimal;7;22.25;0.07;99;0:22.35;0;0;0;0;42444;0;20;8247;752;1011;0;0;496;0;0;0;4096;0
class;ArtOptimal;8;22.07;0.12;99;0:22.22;0;0;0;0;41876;0;20;8295;762;997;0;0;496;0;0;0;4096;0
class;ArtOptimal;9;22.30;0.14;99;0:22.47;0;0;0;0;41512;0;20;8071;787;1041;0;0;496;0;0;0;4096;0
class;ArtOptimal;10;21.11;0.08;99;0:21.21;0;0;0;0;42056;0;16;7997;747;979;0;0;464;0;0;0;4096;0
js;art-optimal;1;5.59;0.06;99;0:05.65;0;0;0;0;45076;0;0;7671;364;425;0;0;96;0;0;0;4096;0
js;art-optimal;2;5.52;0.08;99;0:05.62;0;0;0;0;45404;0;0;7663;356;414;0;0;96;0;0;0;4096;0
js;art-optimal;3;5.54;0.08;99;0:05.64;0;0;0;0;45212;0;0;7694;395;463;0;0;96;0;0;0;4096;0
js;art-optimal;4;5.48;0.10;99;0:05.59;0;0;0;0;45136;0;0;7678;391;458;0;0;96;0;0;0;4096;0
js;art-optimal;5;5.51;0.08;99;0:05.61;0;0;0;0;45412;0;0;7653;361;424;0;0;96;0;0;0;4096;0
js;art-optimal;6;5.52;0.09;99;0:05.62;0;0;0;0;45152;0;0;7694;362;419;0;0;96;0;0;0;4096;0
js;art-optimal;7;5.47;0.10;99;0:05.59;0;0;0;0;45324;0;0;7680;356;411;0;0;96;0;0;0;4096;0
js;art-optimal;8;5.52;0.10;99;0:05.63;0;0;0;0;45108;0;0;7668;366;424;0;0;96;0;0;0;4096;0
js;art-optimal;9;5.50;0.13;99;0:05.63;0;0;0;0;45492;0;0;7707;357;417;0;0;96;0;0;0;4096;0
js;art-optimal;10;5.54;0.09;99;0:05.63;0;0;0;0;45476;0;0;7665;363;430;0;0;96;0;0;0;4096;0
php;art-optimal;1;55.24;0.05;99;0:55.31;0;0;0;0;28084;0;0;6199;1;159;0;0;96;0;0;0;4096;0
php;art-optimal;2;55.28;0.07;99;0:55.36;0;0;0;0;28192;0;0;6199;1;159;0;0;96;0;0;0;4096;0
php;art-optimal;3;55.65;0.04;99;0:55.71;0;0;0;0;28152;0;0;6201;1;163;0;0;96;0;0;0;4096;0
php;art-optimal;4;55.73;0.02;99;0:55.77;0;0;0;0;28144;0;0;6203;1;167;0;0;96;0;0;0;4096;0
php;art-optimal;5;55.61;0.06;99;0:55.69;0;0;0;0;27980;0;0;6202;1;222;0;0;96;0;0;0;4096;0
php;art-optimal;6;55.59;0.08;99;0:55.68;0;0;0;0;28012;0;0;6201;1;153;0;0;96;0;0;0;4096;0
php;art-optimal;7;55.59;0.08;99;0:55.68;0;0;0;0;28088;0;0;6197;1;173;0;0;96;0;0;0;4096;0
php;art-optimal;8;55.25;0.07;99;0:55.35;0;0;0;0;28096;0;0;6204;1;203;0;0;96;0;0;0;4096;0
php;art-optimal;9;55.24;0.07;99;0:55.33;0;0;0;0;28176;0;0;6201;1;155;0;0;96;0;0;0;4096;0
php;art-optimal;10;55.31;0.07;99;0:55.40;0;0;0;0;28136;0;0;6198;1;203;0;0;96;0;0;0;4096;0
py;art-optimal;1;124.85;0.10;99;2:04.98;0;0;0;0;25164;0;0;8781;1;380;0;0;96;0;0;0;4096;0
py;art-optimal;2;124.88;0.08;99;2:04.99;0;0;0;0;25024;0;0;8779;1;352;0;0;96;0;0;0;4096;0
py;art-optimal;3;123.82;0.10;99;2:03.95;0;0;0;0;24948;0;0;8779;1;391;0;0;96;0;0;0;4096;0
py;art-optimal;4;124.66;0.17;99;2:04.87;0;0;0;0;25196;0;0;8781;1;437;0;0;96;0;0;0;4096;0
py;art-optimal;5;130.94;0.09;99;2:11.06;0;0;0;0;25228;0;0;8780;1;403;0;0;96;0;0;0;4096;0
py;art-optimal;6;124.10;0.10;99;2:04.22;0;0;0;0;25228;0;0;8780;1;356;0;0;96;0;0;0;4096;0
py;art-optimal;7;124.22;0.11;99;2:04.35;0;0;0;0;25060;0;0;8779;1;347;0;0;96;0;0;0;4096;0
py;art-optimal;8;123.85;0.11;99;2:03.99;0;0;0;0;24988;0;0;8779;1;346;0;0;96;0;0;0;4096;0
py;art-optimal;9;125.85;0.11;99;2:06.01;0;0;0;0;25092;0;0;8778;1;428;0;0;96;0;0;0;4096;0
py;art-optimal;10;124.39;0.07;99;2:04.50;0;0;0;0;25024;0;0;8778;1;442;0;0;96;0;0;0;4096;0
