lang;filename;i;task_clock_1;task_clock_2;context_switches_1;context_switches_2;cpu_migrations_1;cpu_migrations_2;page_faults_1;page_faults_2;cycles_1;cycles_2;instructions_1;instructions_2;branches_1;branches_2;branch_misses_1;branch_misses_2;L1_dcache_loads_1;L1_dcache_loads_2;L1_dcache_load_misses_1;L1_dcache_load_misses_2;LLC_loads_1;LLC_loads_2;LLC_load_misses_1;LLC_load_misses_2;time
o;art-optimal;1;4028.554281;1.000;11;0.003;0;0.000;1344;0.334;5629147154;1.397;4689945903;0.83;527731012;130.998;5523228;1.05;2522424464;626.136;2792525;0.11;19072299;4.734;2318882;12.16;4.030487283
o;art-optimal;2;4031.523605;0.999;13;0.003;0;0.000;1342;0.333;5628805737;1.396;4688681643;0.83;527999797;130.968;5550007;1.05;2521147557;625.359;2772694;0.11;19008256;4.715;2344359;12.33;4.035029043
o;art-optimal;3;4028.437095;1.000;13;0.003;0;0.000;1344;0.334;5629303528;1.397;4690175560;0.83;527743455;131.005;5527047;1.05;2522716096;626.227;2795629;0.11;19082063;4.737;2306342;12.09;4.030429539
o;art-optimal;4;4030.483708;0.999;18;0.004;0;0.000;1344;0.333;5631916421;1.397;4691460552;0.83;527970918;130.994;5530918;1.05;2522592524;625.878;2786198;0.11;19044625;4.725;2411773;12.66;4.034247291
o;art-optimal;5;4033.780846;0.999;24;0.006;0;0.000;1344;0.333;5631557179;1.396;4687525835;0.83;528331642;130.977;5560157;1.05;2521204075;625.023;2775414;0.11;19029546;4.718;2340747;12.30;4.038821862
o;art-optimal;6;4030.211368;0.999;14;0.003;0;0.000;1343;0.333;5631583920;1.397;4690010622;0.83;527798081;130.960;5526190;1.05;2522496434;625.897;2808371;0.11;19080697;4.734;2362553;12.38;4.032250126
o;art-optimal;7;4042.214856;0.999;12;0.003;0;0.000;1344;0.332;5635400275;1.394;4690262601;0.83;528373047;130.714;5527202;1.05;2520307170;623.497;2824780;0.11;19057139;4.715;2318525;12.17;4.044933831
o;art-optimal;8;4064.084594;0.999;18;0.004;0;0.000;1343;0.330;5630818213;1.386;4689439792;0.83;527897197;129.893;5579790;1.06;2522526239;620.687;2783392;0.11;19091723;4.698;2253123;11.80;4.067442284
o;art-optimal;9;4029.410374;0.999;16;0.004;0;0.000;1343;0.333;5630217035;1.397;4690647394;0.83;527731507;130.970;5536305;1.05;2522741204;626.082;2774706;0.11;19043525;4.726;2342792;12.30;4.032204262
o;art-optimal;10;4074.878655;0.999;20;0.005;0;0.000;1343;0.330;5631664990;1.382;4689803113;0.83;528241162;129.634;5541583;1.05;2519776880;618.369;2771947;0.11;19124510;4.693;2335297;12.21;4.077747515
